ID,Latitude,Longitude,ward
1,43.511698,-80.198715,6
2,43.509938,-80.236923,5
3,43.513975,-80.235496,5
4,43.550739,-80.222458,1
5,43.535933,-80.256175,3
6,43.579549,-80.26123,2
7,43.52108,-80.246595,5
8,43.52108,-80.246595,5
9,43.547504,-80.249122,1
10,43.52108,-80.246595,5
11,43.512655,-80.191619,6
12,43.525388,-80.280888,4
13,43.539678,-80.255168,3
14,43.511902,-80.212125,6
15,43.535281,-80.240797,5
16,43.512315,-80.210478,6
17,43.543388,-80.235954,1
18,43.512315,-80.210478,6
19,43.512315,-80.210478,6
20,43.496497,-80.245375,
21,45.457586,-76.405812,
22,43.516615,-80.179294,6
23,43.511508,-80.234016,5
24,43.542111,-80.251026,3
25,43.554656,-80.281814,3
26,43.501776,-80.192452,6
27,43.511755,-80.212321,6
28,43.504653,-80.192319,6
29,43.501776,-80.192452,6
30,43.524203,-80.24332,5
31,43.565907,-80.224737,1
32,43.521545,-80.236035,5
33,43.522042,-80.238936,5
34,43.537839,-80.278195,4
35,43.512315,-80.210478,6
36,43.512315,-80.210478,6
37,43.512315,-80.210478,6
38,43.522454,-80.236549,5
39,43.512315,-80.210478,6
40,43.52108,-80.246595,5
41,43.542071,-80.260436,3
42,43.514857,-80.231172,5
43,43.512881,-80.257442,5
44,43.539977,-80.246422,5
45,43.517081,-80.242562,5
46,43.52108,-80.246595,5
47,43.542111,-80.251026,3
48,43.543932,-80.260968,3
49,43.514338,-80.215831,6
50,43.512429,-80.238745,5
51,43.515487,-80.227012,5
52,43.540549,-80.249295,5
53,43.701785,-80.374939,
54,43.512315,-80.210478,6
55,0,0,
56,43.550127,-80.238629,1
57,43.552051,-80.224637,1
58,43.545909,-80.249172,1
59,43.514986,-80.253222,5
60,43.510044,-80.252968,5
61,43.506705,-80.225995,6
62,43.511604,-80.232167,5
63,43.505933,-80.19103,6
64,43.52725,-80.244673,5
65,43.512537,-80.232291,5
66,43.501776,-80.192452,6
67,43.561859,-80.226206,1
68,43.511508,-80.234016,5
69,43.517392,-80.205824,6
70,43.513772,-80.216947,6
71,43.513622,-80.257005,5
72,43.534407,-80.240712,5
73,43.5342,-80.234943,5
74,43.517392,-80.205824,6
75,43.51688,-80.219271,5
76,43.474256,-80.516224,
77,43.564909,-80.225335,1
78,43.514224,-80.233645,5
79,43.52108,-80.246595,5
80,43.52108,-80.246595,5
81,43.526063,-80.210636,5
82,43.513772,-80.216947,6
83,43.510753,-80.216734,6
84,43.543388,-80.235954,1
85,43.518037,-80.192427,6
86,43.569601,-80.233177,1
87,43.532671,-80.282625,4
88,43.526167,-80.227064,5
89,43.513573,-80.233702,5
90,43.523238,-80.239815,5
91,43.010126,-81.199638,
92,43.508684,-80.245026,6
93,43.511581,-80.254755,5
94,43.515614,-80.254609,5
95,43.515614,-80.254609,5
96,43.517443,-80.192582,6
97,43.517392,-80.205824,6
98,43.513982,-80.256603,5
99,43.511006,-80.217478,6
100,43.522033,-80.220401,5
101,43.522625,-80.23496,5
102,43.508815,-80.191079,6
103,43.508815,-80.191079,6
104,43.510039,-80.236526,5
105,43.517392,-80.205824,6
106,43.510952,-80.25285,5
107,43.512315,-80.210478,6
108,43.535274,-80.240014,5
109,43.562237,-80.24134,1
110,43.2598,-79.927347,
111,43.536476,-80.245327,5
112,43.512779,-80.233033,5
113,43.515541,-80.176303,6
114,43.566891,-80.244068,2
115,43.543367,-80.238353,1
116,43.520585,-80.238576,5
117,43.541045,-80.241887,1
118,43.511636,-80.216408,6
119,43.539803,-80.248389,5
120,43.507445,-80.188317,6
121,43.537142,-80.241306,5
122,43.513622,-80.257005,5
123,43.532429,-80.236227,5
124,43.517607,-80.177601,6
125,43.52108,-80.246595,5
126,43.554356,-80.232733,1
127,43.512499,-80.217513,6
128,43.510245,-80.251911,5
129,43.52108,-80.246595,5
130,43.507876,-80.233555,5
131,43.512132,-80.256086,5
132,43.514639,-80.216089,6
133,43.52108,-80.246595,5
134,43.52247,-80.186936,6
135,43.509643,-80.237328,5
136,43.514773,-80.252459,5
137,43.510485,-80.233376,5
138,43.504975,-80.192255,6
139,43.533906,-80.294323,4
140,43.509651,-80.25197,5
141,43.514091,-80.233797,5
142,52.25932,-7.11007,
143,43.51529,-80.238979,5
144,43.512517,-80.255331,5
